Date,Country,Confirmed,Recovered,Deaths,Population,mortality_rate,increase_rate,Confirmed_rate,Recovered_rate,Deaths_rate
2020-01-22,Afghanistan,0,0,0,38928341.0,,,,,
2020-01-22,Albania,0,0,0,2877800.0,,,,,
2020-01-22,Algeria,0,0,0,43851043.0,,,,,
2020-01-22,Andorra,0,0,0,77265.0,,,,,
2020-01-22,Angola,0,0,0,32866268.0,,,,,
2020-01-22,Antigua and Barbuda,0,0,0,97928.0,,,,,
2020-01-22,Argentina,0,0,0,45195777.0,,,,,
2020-01-22,Armenia,0,0,0,2963234.0,,,,,
2020-01-22,Australia,0,0,0,25459700.0,,,,,
2020-01-22,Austria,0,0,0,9006400.0,,,,,
2020-01-22,Azerbaijan,0,0,0,10139175.0,,,,,
2020-01-22,Bahamas,0,0,0,393248.0,,,,,
2020-01-22,Bahrain,0,0,0,1701583.0,,,,,
2020-01-22,Bangladesh,0,0,0,164689383.0,,,,,
2020-01-22,Barbados,0,0,0,287371.0,,,,,
2020-01-22,Belarus,0,0,0,9449321.0,,,,,
2020-01-22,Belgium,0,0,0,11589616.0,,,,,
2020-01-22,Belize,0,0,0,397621.0,,,,,
2020-01-22,Benin,0,0,0,12123198.0,,,,,
2020-01-22,Bhutan,0,0,0,771612.0,,,,,
2020-01-22,Bolivia,0,0,0,11673029.0,,,,,
2020-01-22,Bosnia and Herzegovina,0,0,0,3280815.0,,,,,
2020-01-22,Botswana,0,0,0,2351625.0,,,,,
2020-01-22,Brazil,0,0,0,212559409.0,,,,,
2020-01-22,Brunei,0,0,0,437483.0,,,,,
2020-01-22,Bulgaria,0,0,0,6948445.0,,,,,
2020-01-22,Burkina Faso,0,0,0,20903278.0,,,,,
2020-01-22,Burma,0,0,0,54409794.0,,,,,
2020-01-22,Burundi,0,0,0,11890781.0,,,,,
2020-01-22,Cabo Verde,0,0,0,555988.0,,,,,
2020-01-22,Cambodia,0,0,0,16718971.0,,,,,
2020-01-22,Cameroon,0,0,0,26545864.0,,,,,
2020-01-22,Canada,0,0,0,37855702.0,,,,,
2020-01-22,Central African Republic,0,0,0,4829764.0,,,,,
2020-01-22,Chad,0,0,0,16425859.0,,,,,
2020-01-22,Chile,0,0,0,19116209.0,,,,,
2020-01-22,China,548,28,17,1404676330.0,-3.4730619428917993,,-14.756797456138074,-17.730868232910886,-18.229859399029873
2020-01-22,Colombia,0,0,0,50882884.0,,,,,
2020-01-22,Congo (Brazzaville),0,0,0,5518092.0,,,,,
2020-01-22,Congo (Kinshasa),0,0,0,89561404.0,,,,,
2020-01-22,Costa Rica,0,0,0,5094114.0,,,,,
2020-01-22,Cote d'Ivoire,0,0,0,26378275.0,,,,,
2020-01-22,Croatia,0,0,0,4105268.0,,,,,
2020-01-22,Cuba,0,0,0,11326616.0,,,,,
2020-01-22,Cyprus,0,0,0,1207361.0,,,,,
2020-01-22,Czechia,0,0,0,10708982.0,,,,,
2020-01-22,Denmark,0,0,0,5792203.0,,,,,
2020-01-22,Diamond Princess,0,0,0,,,,,,
2020-01-22,Djibouti,0,0,0,988002.0,,,,,
2020-01-22,Dominica,0,0,0,71991.0,,,,,
2020-01-22,Dominican Republic,0,0,0,10847904.0,,,,,
2020-01-22,Ecuador,0,0,0,17643060.0,,,,,
2020-01-22,Egypt,0,0,0,102334403.0,,,,,
2020-01-22,El Salvador,0,0,0,6486201.0,,,,,
2020-01-22,Equatorial Guinea,0,0,0,1402985.0,,,,,
2020-01-22,Eritrea,0,0,0,3546427.0,,,,,
2020-01-22,Estonia,0,0,0,1326539.0,,,,,
2020-01-22,Eswatini,0,0,0,1160164.0,,,,,
2020-01-22,Ethiopia,0,0,0,114963583.0,,,,,
2020-01-22,Fiji,0,0,0,896444.0,,,,,
2020-01-22,Finland,0,0,0,5540718.0,,,,,
2020-01-22,France,0,0,0,65273512.0,,,,,
2020-01-22,Gabon,0,0,0,2225728.0,,,,,
2020-01-22,Gambia,0,0,0,2416664.0,,,,,
2020-01-22,Georgia,0,0,0,3989175.0,,,,,
2020-01-22,Germany,0,0,0,83783945.0,,,,,
2020-01-22,Ghana,0,0,0,31072945.0,,,,,
2020-01-22,Greece,0,0,0,10423056.0,,,,,
2020-01-22,Grenada,0,0,0,112519.0,,,,,
2020-01-22,Guatemala,0,0,0,17915567.0,,,,,
2020-01-22,Guinea,0,0,0,13132792.0,,,,,
2020-01-22,Guinea-Bissau,0,0,0,1967998.0,,,,,
2020-01-22,Guyana,0,0,0,786559.0,,,,,
2020-01-22,Haiti,0,0,0,11402533.0,,,,,
2020-01-22,Holy See,0,0,0,809.0,,,,,
