Country,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10
Afghanistan,0.23211835422411298,-4.15170292151249,-3.312572487502584,-4.43780244386138,-2.7189868424309585,4.086296179932961,-13.690005499649983,2.797490747653594,3.3152780875385517,3.5149385256266092
Albania,-0.7472861490078381,-3.76130985807207,-2.9016910729191228,-4.585284634471582,2.4025878074867575,2.1013355105331923,-12.23297601296683,-3.2193995771895314,3.2940983777694393,-4.83471205823041
Algeria,-0.052075130384766286,-3.0202012700713508,-3.171280393472717,-3.276380230360703,1.4236451339583205,3.106300250809772,-8.199614461275148,-1.737196609549064,2.2350472829924204,-3.354751785433528
Andorra,0.5560482033009608,-6.519161194536583,-5.8785078757932565,-4.080800683378851,-2.5567496445092743,3.6524765272329915,-12.236598588187418,2.6819496532230747,3.095393412735246,3.2113676862725775
Angola,-1.1261954862979549,1.964688118377824,1.3485586603940454,-2.597882466376803,-1.5586851259198875,0.26010319691709466,-8.672237618553874,1.5504114813623289,1.8794160514209333,2.0230930055566407
Antigua and Barbuda,-1.2688725633776476,1.650729606264052,1.0733946846509248,-2.0665709454281536,-1.2102459506155963,-2.902668557250723,-7.047089326079663,1.1174696015492165,1.4611254903827111,1.6604522907034085
Argentina,0.6330236562594272,-4.867138611473952,-3.8618317485100193,-1.922545689717778,2.487393697949441,3.4287799315962726,-12.99169210213027,-3.4160171511567037,4.0004628419869,-3.3622786985937676
Armenia,0.8351810705731288,3.646069463965531,-6.768662991334134,-5.333996582117069,-3.201635141981479,5.657383004479571,-16.79898304798908,3.030158556322785,3.9364491180161005,4.3187579162604735
Australia,0.8402808697276641,-5.820243385942067,-5.351338733513297,2.3662150567101,1.9828221805696322,5.211623651769258,-19.084133421333537,-3.328425059432005,3.4502298242803633,-4.480849552339153
Austria,1.155519297814107,-6.7234799118858355,-5.237812414418131,-6.374571489571234,3.671506519978728,4.32611031541381,-14.968261703427018,-6.146812226650892,4.1805549382189255,-9.448923220943238
Azerbaijan,0.366427657221,-4.118217775461001,-3.1692911813560594,-6.301126992280066,-1.9529026962077858,3.5120705566123855,-17.675735153343393,-2.6611269605188896,4.462803175943459,-2.2771603218684735
Bahamas,-0.14017852075013534,1.402815214113705,2.3408111189806458,-2.1845182638052743,-1.1785196652975134,1.7839656607227936,-7.165006751656254,0.9603917669974046,1.5392661630053344,1.9267103657054467
Bahrain,-1.467209624960505,-4.755001557448893,-3.9685616692065073,-7.07455799710254,-5.762068172569137,3.925840264185038,-21.551105620141456,-5.783691524606842,5.5813223741931886,-1.8289022126886934
Bangladesh,-2.3820399832154924,-1.7831737663710556,-1.6332779813928349,-3.7993301919146956,-2.782712094950136,1.0219108186732921,-11.90097950403524,-2.765352890155688,2.906738005082827,1.8646820489196072
Barbados,0.1662130113308462,2.195092446961367,1.7991293070576597,-2.8656818494116933,-1.7313960769222578,-3.312864459560653,-9.792114065408446,1.7149718269947722,2.0705510272856356,2.2024265410021067
Belarus,-1.332290464912261,3.6714678456324026,4.381322974912642,-5.319834008763898,-3.0361465494581745,2.130660292438197,-17.6415939359273,2.915848271093932,3.802767575008505,4.342654578251785
Belgium,1.0309453433095033,-4.673061826007899,-3.6236478865790027,-3.7679756666156177,5.851953613709253,3.1949359455771162,-8.917666625558066,-4.5924920839093835,2.7389635833993333,-8.481525953238561
Belize,-1.6634285900864938,1.615354927277764,1.1615434671312501,-2.06748804047216,-1.2213408137825945,-2.6934782651119034,-7.049263528837847,1.1747156356860535,1.4720239757628086,1.6265109057270977
Benin,-3.4543566834630206,2.8041893672190175,2.047402513012838,-3.5978766562141806,-2.1315354759354355,-4.614220271357948,-12.272362117349854,2.0373893757158994,2.5675490030557193,2.830798267587852
Bhutan,-1.6145256040103093e-15,-1.1336982864747693e-15,-6.243039808623838e-16,4.571815480561228e-16,1.0804587422583899e-15,-1.854328087641193e-15,1.1565304806499677e-15,-1.418218838502007e-15,-1.369989662905797e-15,-1.5131356144131058e-15
