Country,IC1,IC2,IC3
Afghanistan,-9.655332839461295,-1.015215518852462,-1.4531077165330737
Albania,-8.214082979588282,-4.833061439339381,-2.0101177129168857
Algeria,-8.581499733151778,-4.0122853952678055,-3.9005938728751417
Andorra,-6.6895908000470925,-8.47427628487492,2.2643070995126746
Angola,-4.681621813545243,-1.484025992439903,1.6722908543069124
Antigua and Barbuda,-3.0175355080165693,-0.9731147396619911,0.8505262761772903
Argentina,-8.986577718659806,-5.356564922742686,-3.9618297333514367
Armenia,-8.982787494198819,-5.769102970359646,-0.10193626031198683
Australia,-0.46846191340098997,-11.843999403092909,-6.861274658768443
Austria,-2.65813737670089,-9.415979170825192,-11.413680903464334
Azerbaijan,-8.883515290685615,-3.697645550192465,-1.2577007820326125
Bahamas,-6.541477352932764,-1.029414885710508,1.7748753371339256
Bahrain,-4.647813965821705,0.03589788871411342,-4.953547991620636
Bangladesh,-11.739116735941678,0.2470363751682506,3.2825113928112337
Barbados,-4.989373584996568,-4.076984475516771,1.4047403680649293
Belarus,-10.133049792023105,2.206717551990975,-1.6156667243993914
Belgium,-7.37842047187072,-5.323384583229147,-9.106786592673082
Belize,-4.0053011970501124,0.6023225394551868,0.9024653062284833
Benin,-4.156308617133233,-1.1376539971077289,1.2233815202570641
Bhutan,-2.268330741851434,-1.0328720289548403,0.6631044998671856
Bolivia,-10.349473253702431,-1.8013337815030803,0.9965060004247557
Bosnia and Herzegovina,-8.704889730368617,-5.76774918249358,-2.3355100401869593
Botswana,-2.3718048827785703,1.4055891373243514,0.6407020021446929
Brazil,-11.009433385028025,-3.9646581698848737,-5.084609885541641
Brunei,-2.812081494392044,-6.495758327936076,-2.8774637848306455
Bulgaria,-8.592219207892102,-4.544318904928416,-1.0310161131050763
Burkina Faso,-7.214340746795178,-8.085269870316,0.7620469721535469
Burma,-5.658906531644212,3.7777390423042676,1.4170309326745791
Burundi,-1.4051616502059432,0.9171209323780378,0.33548858348471633
Cabo Verde,-5.467236163370016,2.554298846128836,1.7633015194989072
Cambodia,-3.3029071444987452,-6.685001954868917,-2.8837153738130716
Cameroon,-8.38760668166711,-5.74459562851745,1.6377114598679603
Canada,-5.698647476610464,-4.841961488179653,-5.235804914738336
Central African Republic,-2.96309238714461,1.7675020858211385,1.0118475841869896
Chad,-4.863122299047546,1.8969906013219129,1.284938547053
Chile,-10.409130130297157,-5.3603676509022735,-3.6901942473681606
China,19.70444956148385,-3.0661638829502063,9.052807695721603
Colombia,-10.819405408569944,-5.674006699679566,-1.7329859467134365
Congo (Brazzaville),-2.417314678038268e-15,2.0783522366265104e-15,3.20674359582935e-15
Congo (Kinshasa),-9.264716421668391e-16,1.7906224788105447e-15,1.6149890298957102e-15
Costa Rica,-6.028438926243786,-8.738403380741566,-2.8889288614099633
Cote d'Ivoire,-8.70121254678086,-3.502618848179742,2.8313126209805795
Croatia,-5.862777484554821,-7.931485929316692,-6.046732754446505
Cuba,-10.891751431593093,-4.263647661535235,2.2236450849568232
Cyprus,-7.881640545499365,-7.076479939497016,-2.19177734217858
Czechia,-6.604553762924466,-8.153769439256445,-7.428610987431488
Denmark,-6.005249811823234,-3.621470030861021,-9.069732245383339
Diamond Princess,3.2563804958629796,0.3784984096002442,2.3894020865314536
Djibouti,-8.477269917648737,1.0349757065908656,2.5388211521633135
Dominica,-7.957174387737399e-16,2.5730469623404194e-15,5.972274363738659e-17
Dominican Republic,-10.045048121764237,-5.057993314668474,-0.11524345398730514
Ecuador,-8.714510263054615,-5.982372501204595,-1.6819649550667168
Egypt,-8.869221043461675,-1.9962917558000215,-4.756893276793484
El Salvador,-9.208897047459237,0.9735783533003316,2.793235011044259
Equatorial Guinea,-5.159154419977747,0.5240013431037296,1.694251066053253
Eritrea,-3.8393524237127883,-1.5910245621893597,1.2351735479626735
Estonia,-5.626276406421813,-6.961011294583852,-6.033027291114699
Eswatini,-4.861378957804947,2.2800077737438955,1.770103010182987
Ethiopia,-7.08076637808229,-2.0568149081000957,2.065974911730315
Fiji,-3.506168604000372,-2.302867166486997,1.0075076990013194
Finland,-6.890822126589454,-4.551154206625403,-7.6744560107158675
France,-1.7928600133005443,-6.3609584666342,-9.086643248984428
Gabon,-7.076101762094625,0.18976977288002075,2.458750304673919
Gambia,-1.897456751663404,-1.2628509943533375,0.826548934916116
Georgia,-7.267516292790698,-2.0829320770658355,-3.867755464509974
Germany,-1.3627349828141206,-7.383461031351653,-9.181001085707377
Ghana,-7.971097112212919,-4.3132813631507405,2.6045532893665047
Greece,-3.7099453650288114,-5.9842059169829875,-8.495715577490666
Grenada,-2.7544759374611907,0.024953272024916574,0.8391072239837225
Guatemala,-9.785084818701401,-2.3820328715623225,3.1005943095552135
Guinea,-24.325336347025186,16.570137948492473,7.165330788800671
Guinea-Bissau,-3.948447999847256,2.043878850939347,0.8717297495680505
Guyana,-5.625310057867197,-2.228746457511555,1.3352573428406511
Haiti,-5.7737607804999085,0.930281971989283,1.9378112814172803
Holy See,-2.101924204876593,-0.5743547796239874,0.7976579041149944
Honduras,-8.150292590369036,-5.29355635690503,2.1914386509185335
Hungary,-9.677810451642216,-5.254784890843934,-2.3511811648711363
Iceland,-1.930806247489243,-9.615929006497376,-9.421181280159157
India,-9.672846165750935,-2.1536716450859252,-3.827207703156962
Indonesia,-10.332205763244955,-4.628261711340327,-4.097295654622384
Iran,-0.21144919990654226,-2.941579625521361,-9.471959110265287
Iraq,-5.124674968655056,-3.7756263158184105,-6.885123026175922
Ireland,-9.76171258715843,-5.070903873124133,-5.493077714384459
Israel,-5.960098916445401,-6.298965165348822,-8.85358192424474
Italy,-0.39326780718160315,-4.366292662665228,-9.36463257601618
Jamaica,-7.628169306880474,-0.9042396509903204,0.10566705487483456
Japan,0.18312026048392505,-0.23318996294928507,-2.0203787202662533
Jordan,-5.014542698369113,-9.110997394693353,1.1414832337380172
Kazakhstan,-10.823565986740421,-3.346046309847403,2.3576468234282233
Kenya,-8.237214536162943,-2.3247363430975287,2.098591098786493
"Korea, South",13.709635876302137,-5.1670716749009795,-4.158366460487258
Kosovo,-4.234568923783343,1.0460211819418375,1.088372075140334
Kuwait,-7.053635694170453,1.1886931336560433,-2.191101892280847
Kyrgyzstan,-8.245683926609347,-1.018317016670607,2.5287747695716134
Laos,-3.6576624024650837,-1.2219723764062176,1.1029527750331916
Latvia,-6.840300773159977,-7.882784439716096,-3.93818321329653
Lebanon,-2.5442405149889065,-6.8573570214181565,-8.371112995947101
Liberia,-6.183540377009459,2.166481748290764,1.6795860216125975
Libya,-5.024942773435923,1.1422560963304402,1.4053786309146787
Liechtenstein,-2.998406197651231,-4.381351345225399,-0.41229153004236746
Lithuania,-8.525462216756269,-9.255231113833242,-0.8978604133164666
Luxembourg,-5.657213790573259,-11.728132573066674,-5.323323914224372
MS Zaandam,-0.6880430381838973,-0.26894435240177683,0.20434829603738924
Madagascar,-5.069300321612086,-2.521126819733455,1.6714645093736307
Malawi,-3.9088901502962434,3.7020371703676527,0.917793631828436
Malaysia,-2.2611504142876813,-7.302391695199948,-4.6821277671288986
Maldives,-5.722914897459545,4.195937449769913,-1.4396094215545026
Mali,-8.650501363297986,3.620486089963312,2.2642448539039535
Malta,-6.22117160657108,-8.148344654201642,-2.279323312709308
Mauritania,-1.946070428623935,-2.190933685688011,0.5828130113583241
Mauritius,-5.536045084141784,-6.804800597332988,1.6485428200613705
Mexico,-11.224855918869672,-3.7129239629933464,-3.1287102643725984
Moldova,-11.143610490892542,-4.3808177237688835,-0.6453144314297057
Monaco,-4.755453332835089,-4.655763727343315,1.0949418444948635
Mongolia,-3.9810153368514665,-1.3319584002657165,1.3009320120132657
Montenegro,-5.716425277516841,-6.756306232770073,1.761909283365104
Morocco,-10.877512683885762,-4.979312921151823,-2.1790785766028113
Mozambique,-5.613740755865423,1.4394056655289518,1.9036596703344093
Namibia,-2.422293006054609,-3.2735045117769226,1.007253139014343
Nepal,-5.1069960208301906,1.246105593512336,1.5940638900315114
Netherlands,-6.388372923296467,-5.569750731941581,-10.20298080647735
New Zealand,-5.968154592335196,-9.97357222934637,-2.055399969920953
Nicaragua,-3.4683232696235184,0.43481183071204194,1.0122727797222535
Niger,-5.909932776085852,5.136769317582404,1.6616405330379813
Nigeria,-10.11361047288429,-1.8653121556636674,2.4083335568497506
North Macedonia,-9.206590297689393,-6.193042822673538,-1.3884196884415159
Norway,-2.3773608235369683,-6.333538022655671,-11.15274334198167
Oman,-9.102300002053353,-0.24758448507723865,-1.9735140709403463
Pakistan,-9.948328412053696,-4.746197954773382,-3.341807952542806
Panama,-10.17062515380329,-5.959097769796081,-1.1570709244451873
Papua New Guinea,-1.3713585576347491,1.2097451967242692,0.24479604452565604
Paraguay,-7.718243802920674,-4.9855859702161265,-0.009764508670954339
Peru,-12.045393606346346,-2.4753504201201477,-2.0840013022070876
Philippines,-7.946800654500212,-5.153322238172359,-4.494342497306151
Poland,-10.015319241887736,-5.870507423564076,-4.57083712175554
Portugal,-8.516388694070901,-7.358454858720422,-6.3966145955800915
Qatar,-8.469086578321473,2.4467791162067667,-5.96433419103862
Romania,-9.31365977676822,-5.002940652218176,-5.921724026158456
Russia,-12.774736204474767,-2.7884836232285366,-2.828434019026556
Rwanda,-6.499917969559037,-4.949999576324592,2.3708364281591487
Saint Kitts and Nevis,-2.592216963071514,0.588177654411534,0.5132930117709618
Saint Lucia,-2.073505822206151,-1.928620437660938,0.302996436037272
